name,b_day,active,po
Michael Rogers,1922-12-17,yes,79
Michael Frye,2018-05-07,yes,91
Jennifer Guerrero,2009-11-08,no,46
Brian Harris,1908-10-08,no,77
Jordan Marks,1909-10-12,yes,33
Kathleen Brown,1912-07-06,yes,24
Trevor Harris,1938-11-29,no,55
Julian Gonzales,1964-03-05,no,97
Gregory Mason,1915-03-18,no,23
Kyle Thompson,1958-10-16,yes,50
Susan Collins,2011-12-09,yes,30
Michael Moore,1990-01-05,yes,81
Teresa Riley,1968-01-02,yes,91
John Camacho,1928-06-16,no,61
Heather Stewart,1910-05-06,yes,30
Lisa Higgins,2020-12-29,yes,30
Charles Jackson,1962-07-23,yes,34
Kelly Cook,1960-04-27,yes,68
Melanie Martin,1943-08-17,no,27
Amanda Weaver,1999-12-15,yes,97
Richard Marsh,1983-11-15,yes,45
Valerie Wilson,1990-04-17,no,65
Timothy Hill,2002-11-10,yes,37
Alexander Quinn,1920-02-26,yes,11
Patrick Hamilton,1990-05-30,yes,21
Casey Hardy,1934-12-08,no,19
Kurt Pace,1950-07-13,no,41
Kaitlyn Adams,1934-08-18,no,2
James Williams,1944-06-28,yes,62
Crystal Acosta,1921-03-19,yes,31
Craig Phillips,1926-04-22,no,40
Karen James,1996-08-29,no,61
Michael Meza,1941-02-02,yes,90
Travis Shaffer,2017-02-27,yes,33
Scott Harris,1947-03-04,yes,12
Nathaniel Smith,1933-03-06,no,60
Ashley Casey,1980-10-10,no,89
Charles Mcfarland,2007-10-21,no,44
Danielle Fletcher,1926-04-08,no,49
Elizabeth Gilbert,1991-09-15,yes,48
Tommy Livingston,2006-09-05,yes,4
Daniel Shepherd,2012-03-26,no,10
Rodney Scott,2014-07-26,no,54
Terri York,2022-11-13,yes,22
Elizabeth Brewer,2007-03-24,yes,42
Michael Hale,2017-05-11,yes,93
Steven Lewis,2019-08-02,yes,63
Sarah Chan,1908-07-18,no,49
David Hunt,1933-03-09,yes,1
Kelly Garcia,1988-06-21,no,1
Miss Sarah Meyers,1955-01-07,yes,25
Sean Johnson,1944-06-16,no,91
Emily Simpson,1942-08-20,yes,53
Malik Arellano,1967-07-10,yes,51
Erica Barron,1949-06-08,yes,19
Karen Mccall,1980-07-05,yes,16
Michael Marshall,2017-08-01,yes,84
Ashley Turner,1926-10-05,yes,5
Jonathan Clark,2001-12-25,yes,92
Diane Bowen,1969-09-13,yes,50
Kenneth Smith,1979-01-04,yes,95
Carlos Guerrero,1922-07-12,yes,12
Alyssa Torres,1957-08-17,no,90
Carla Pratt,2013-01-20,yes,68
Ilya Tikhomirov,1996-09-11,no,99
Jessica Molina,1964-12-28,no,84
Ashley Smith,1935-04-23,no,18
Pedro Sullivan,1988-04-19,yes,97
Teresa Jackson,1968-12-03,no,51
Ryan Duncan,2008-05-10,no,69
Stephen Green,1954-04-19,yes,39
William Cantrell,1996-08-12,yes,23
James Brown,1949-08-29,no,71
Steven Ellis,1921-12-25,yes,83
Philip Gregory,1932-12-13,yes,1
Jennifer Ryan,1951-07-06,no,26
Joshua Reed,2016-03-28,no,84
Tina Davis,1982-11-01,no,62
Jennifer Lee,1944-12-07,no,1
Carlos Smith,1969-09-15,no,72
Cheryl Vargas,1935-02-25,yes,40
Samuel Chapman,1972-11-26,yes,70
Mary Erickson,1989-08-31,yes,43
Jason Fisher,1933-04-12,no,31
Robert Ross,2013-11-03,no,26
Lisa Ross,1954-09-23,no,1
Jason Davidson,1929-11-04,no,8
Edward Wilcox,1977-10-19,yes,27
Erica Johnson,2002-09-06,yes,93
Hannah Kelly,1994-07-08,yes,87
Angela Riley,1989-02-01,yes,38
Daniel Munoz,1961-07-18,no,21
Jeffrey Drake,1957-11-07,no,54
Nathan Gilbert,1990-05-09,yes,9
Jonathon Pineda,1909-07-31,no,11
Lindsey Rose,1995-07-14,yes,47
Matthew Roberts,1949-07-11,no,17
Sandra Anderson,1962-06-15,no,5
Cody Everett,1928-02-08,yes,95
Scott Phillips,1994-04-25,no,15
