name,b_day,active,po
Seth Summers,1936-04-10,no,70
Robert Flores,2016-01-12,no,67
Jonathan Brown,1952-06-24,no,16
Christine Fuller,1947-12-01,yes,97
Kelsey Rivas,1983-06-12,yes,30
Ashley Lamb,1973-04-06,no,54
Alicia Hampton DVM,1915-11-05,no,74
Anthony Gordon DVM,1965-10-25,yes,32
Tammy Adams,1933-05-08,yes,40
Matthew Cox,1956-11-13,no,90
Richard George,2018-02-11,yes,2
Robert Parrish,2018-12-14,no,46
Alexa Griffith,1920-07-03,no,50
Susan Martin,1995-01-02,no,85
Daniel Ortega,2003-04-25,no,24
John Evans,1947-09-28,yes,28
Desiree Fernandez DDS,2008-02-04,yes,36
Christina Adams,2016-02-19,yes,51
David Clark,2004-09-01,no,99
April Myers,1908-12-17,no,57
Cory Brooks,1946-11-23,yes,72
Walter Bell,1996-10-20,yes,21
Samuel Hebert,1972-11-30,no,31
Jill Garcia,1976-08-30,yes,99
Lauren Berry,1979-09-04,yes,17
Laura Blake,1975-07-03,yes,7
Olivia Martinez,1949-02-19,yes,87
Debra Cox,1927-02-26,no,55
Alison Thompson,1981-02-05,yes,10
Jeremy Hill,1936-11-26,no,17
Mr. James Chandler,1988-12-11,yes,60
Caitlin Bell,2001-12-17,no,66
Sherri Olson,1917-11-30,yes,66
Javier Meyer,2016-11-01,yes,53
Shannon Brown,1964-02-15,no,45
Jeremy Walker,2009-01-18,no,53
Jennifer Washington,2008-02-12,no,80
Chris Martin,1976-06-20,yes,96
Justin Decker,1993-01-28,no,61
Diana Williams,2021-07-22,no,27
Susan Walton,1911-07-30,yes,13
Sonia Vega,1909-08-06,yes,40
Casey Hernandez,1985-05-05,no,96
William Williams,1924-10-30,no,5
Hailey Evans,2004-09-08,yes,58
Samuel Smith,1970-02-08,yes,36
Lisa Holder,2005-03-08,no,86
Todd Watts,2001-08-19,no,20
Samantha Blake,1963-07-11,no,47
Carla Jones,1970-07-07,yes,80
Brenda Simmons,1970-11-23,yes,33
Christina Martinez,2007-08-20,yes,74
Linda Butler DDS,1923-10-10,no,31
James Gonzales,1916-02-11,no,80
Rebecca Smith,1971-03-19,yes,55
Wayne Rice,1920-08-15,yes,17
Zachary Mccoy,1933-09-28,yes,27
Mario Reeves,1952-01-17,no,30
Samuel Torres,2021-02-19,yes,84
James Simon,1971-12-11,no,74
Joe Pittman,1999-09-08,yes,25
James Moses,1970-06-16,no,28
Kristin Torres,1986-12-11,yes,28
Roger Kim,1929-07-25,no,82
Brandon Wilson,1961-04-27,no,18
Trevor Taylor,2001-08-04,yes,76
Michael Ramos,1961-09-20,no,83
Nicole Fleming,1944-07-27,no,9
Erin Miles,1960-11-07,no,49
Heidi Thompson,1949-06-08,yes,12
Mr. Zachary Sandoval,2017-10-19,yes,35
Ashley Rodriguez,1972-08-27,yes,39
Linda Clark,2018-12-15,yes,3
Christopher Rice,1968-06-19,yes,89
Lisa Smith,1917-01-07,yes,87
Tony Roberts,1958-04-02,yes,98
Megan Ross,1980-01-30,no,18
Joseph Webb,1935-10-19,no,97
Catherine Elliott,1947-01-17,yes,20
Michael Dennis,1978-03-03,yes,98
Gwendolyn Juarez,1997-05-09,no,56
Mallory Olson,1911-05-29,yes,59
Peter Wyatt,1962-03-04,no,56
Brandon Potts,1975-04-19,yes,60
Joshua Dalton,1941-01-11,no,21
James Guerrero,2012-11-25,no,99
Sharon Best,1997-03-08,yes,59
Darren Davis,1944-06-30,no,63
Nicholas Patterson,1985-01-16,yes,100
Glenda Morales,1998-04-30,no,62
Eric Snow,1934-02-25,no,75
Ronald Smith,1990-11-19,yes,53
Jacob Moore,1950-06-18,yes,81
Mark Barron,1984-12-15,yes,8
Jack Chavez,1924-01-25,no,93
Stacy Marshall,1920-04-24,no,85
David Anderson,1954-05-06,yes,87
Amber Barnes,1938-11-02,no,100
Meagan Terry,1988-01-27,yes,10
Brandon Washington,1990-07-05,yes,80
